语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户
8,7,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,497,0,85.0,497,0.0,549,0.0,11050748,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,178,0,38.0,178,0.0,148,0.0,86344,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,271,0,39.0,271,0.0,184,0.0,7699976,0,0
10,10,10,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,176,0,128.0,176,0.0,365,0.0,16666613,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,214,0,108.0,214,0.0,181,0.0,2570289,0,0
10,10,10,9,1,-1,2,-1,-1,5,-1,7,-1,-1,2,3,-1,-1,-1,-1,76,2,1,0,0.0,1,0.0,0.0,163,0,115.0,163,0.0,126,0.0,49399144,0,0
10,10,10,10,1,1,-1,-1,-1,5,-1,-1,-1,1,2,-1,-1,-1,-1,-1,0,4,0,0,0.0,1,0.0,0.0,127,0,21.0,127,0.0,156,0.0,24837230,0,0
5,4,4,4,1,-1,2,-1,4,-1,-1,-1,-1,1,-1,3,4,-1,6,-1,0,17,0,0,0.0,1,0.0,0.0,772,0,398.0,772,0.0,1088,0.0,20542174,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,185,0,11.04,185,0.0,191,0.0,236100,0,0
1,3,5,3,1,1,-1,-1,-1,5,-1,-1,-1,-1,2,-1,-1,-1,6,-1,0,17,0,0,0.0,1,0.0,0.0,728,0,195.0,728,0.0,940,0.0,38053991,0,0
8,8,8,9,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,124,0,38.0,124,0.0,254,0.0,5797433,0,1
10,10,10,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,2,3,-1,-1,6,-1,0,2,4,0,0.0,1,0.0,0.0,189,0,58.0,189,0.0,224,0.0,24921646,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,135,0,60.0,135,0.0,182,0.0,44675169,0,1
8,7,7,7,1,-1,2,-1,-1,5,-1,7,-1,1,-1,3,4,-1,6,-1,75,37,5,0,0.0,1,0.0,0.0,914,0,74.0,914,0.0,824,0.0,16206655,0,1
10,10,10,10,1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1,3,4,-1,6,-1,0,2,6,0,0.0,1,0.0,0.0,1279,0,108.0,1279,0.0,1739,0.0,4050191,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,5,1,0,0.0,1,0.0,0.0,482,0,38.0,482,0.0,421,0.0,12932826,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,902,0,105.0,902,0.0,905,0.0,6169795,0,1
9,8,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,207,0,111.0,207,0.0,155,0.0,72868,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,138,0,130.0,138,0.0,239,0.0,77077739,0,0
8,9,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,74,1,1,0,0.0,1,0.0,0.0,159,0,108.0,159,9.0,209,0.0,7646687,0,1
8,7,10,6,1,-1,2,-1,-1,-1,-1,-1,98,-1,-1,3,-1,-1,6,-1,0,1,0,0,1.49,1,1.0,0.0,326,0,27.2,326,0.0,349,0.0,120103,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,2,0,0,0.0,1,0.0,0.0,364,0,25.0,364,0.0,696,0.0,7541106,0,0
10,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,4,0,0,0.0,1,0.0,0.0,296,0,138.0,296,0.0,237,0.0,20723929,0,1
10,10,10,10,1,1,-1,-1,-1,5,6,-1,-1,1,-1,3,4,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,127,0,128.0,127,0.0,248,0.0,15042851,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,0,0,0,0.0,1,0.0,0.0,70,0,30.0,70,0.0,119,0.0,67938554,0,0
5,5,9,5,1,1,-1,-1,4,5,-1,-1,-1,-1,2,3,4,-1,-1,-1,0,1,2,0,0.0,1,0.0,0.0,121,0,59.0,121,0.0,66,0.0,5673022,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,252,0,135.0,252,0.0,378,0.0,43641456,0,0
10,10,10,10,1,1,-1,-1,-1,5,-1,-1,-1,1,-1,-1,-1,-1,6,-1,0,6,0,0,0.0,1,0.0,0.0,460,0,70.0,460,0.0,564,0.0,10907723,0,0
10,7,8,9,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,59,0,18.0,59,0.0,264,0.0,1667281,0,0
9,7,8,9,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,78,0,38.1,78,0.0,69,0.0,5169513,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,20,0,11.0,20,0.0,99,0.0,10560,0,0
10,10,9,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,1575.88,1,30.0,0.0,324,0,160.0,324,0.0,329,0.0,65913435,0,1
9,9,9,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,6,0,0,0.0,1,0.0,0.0,495,0,20.0,495,0.0,427,0.0,24048743,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,383,0,15.0,383,0.0,519,0.0,6367812,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,0,0,0,0.0,1,0.0,0.0,1,0,18.3,1,0.0,10,0.0,19728888,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,2,21,0,0.0,1,0.0,0.0,486,0,60.0,486,0.0,518,0.0,10110038,0,1
10,10,10,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,5,0,0,0.0,1,0.0,0.0,1617,0,68.0,1617,0.0,2282,0.0,6499765,0,0
9,9,8,10,1,1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,6,-1,0,4,0,0,0.0,1,0.0,0.0,674,0,56.0,674,0.0,587,0.0,294756,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,1,0,0,0.0,1,186.0,0.0,337,0,380.9,337,0.0,579,0.0,112284732,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,95,0,139.0,95,0.0,220,0.0,19858374,0,1
10,10,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,30,0,50.0,30,0.0,45,0.0,2627519,0,0
10,5,10,10,1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,22,4,1,0,0.0,1,0.0,0.0,319,0,100.0,319,0.0,383,0.0,13657361,0,0
5,5,5,3,1,1,-1,-1,4,-1,-1,-1,-1,1,2,-1,4,-1,-1,-1,15,16,1,0,0.0,1,0.0,0.0,401,0,58.0,401,0.0,394,0.0,13802005,0,1
10,8,8,8,1,1,2,-1,-1,-1,6,7,98,1,2,-1,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,0.0,334,0,105.0,334,0.0,441,0.0,27798603,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,64,0,139.3,64,0.0,85,0.0,6360735,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,1,0,0,0.0,1,0.0,0.0,152,0,215.7,152,0.0,167,0.0,5024378,0,1
10,8,8,10,1,-1,-1,-1,4,5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,0,0.0,1,0.0,0.0,140,0,69.0,140,0.0,141,0.0,4650189,0,0
10,10,10,10,1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,7,8,0,0.0,1,0.0,0.0,139,0,49.0,139,0.0,253,0.0,23991090,0,0
10,9,10,9,1,-1,-1,-1,-1,5,-1,7,-1,1,-1,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,0.0,145,0,50.0,145,0.0,64,0.0,3224758,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,814,0,42.15,814,0.0,449,0.0,27231971,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,125,0,90.0,125,0.0,212,0.0,53707430,0,1
10,6,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,93,0,64.0,93,0.0,87,0.0,16136115,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,627,0,136.9,627,0.0,263,0.0,12538356,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,170,0,58.75,170,0.0,115,0.0,63820208,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,217,0,79.9,217,20.0,157,0.0,4925091,0,1
1,1,5,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,4,5,-1,-1,6,16,0,0,0.0,1,0.0,0.0,747,0,133.51,747,0.0,902,0.0,2856021,0,1
8,7,8,9,1,-1,-1,-1,-1,5,-1,7,-1,-1,-1,3,-1,-1,6,-1,0,1,0,0,43.76,1,10.0,0.0,519,0,49.19,519,0.0,576,0.0,4438431,0,0
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,6,-1,0,3,4,0,0.0,1,0.0,0.0,359,0,81.0,359,0.0,403,0.0,30606359,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,144,0,95.0,144,0.0,105,0.0,11263452,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,0.0,1,0.0,0.0,423,0,70.0,423,0.0,444,0.0,11758048,0,1
8,9,9,10,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,5,-1,-1,0,25,16,0,0.0,1,0.0,0.0,2901,0,147.0,2901,0.0,2241,0.0,15568504,0,0
2,2,2,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,2,3,4,-1,6,-1,0,16,4,0,0.0,1,0.0,0.0,830,0,83.2,830,9.0,537,0.0,15610616,0,0
7,6,6,6,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,6,-1,67,2,0,0,0.0,1,0.0,0.0,176,0,30.12,176,0.0,224,0.0,5411560,0,0
10,10,10,10,1,1,-1,-1,-1,-1,6,7,-1,1,-1,-1,4,-1,6,-1,0,6,0,0,0.0,1,0.0,0.0,551,0,140.0,551,0.0,708,0.0,9702350,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,175,0,65.0,175,0.0,182,0.0,7121377,0,0
9,9,9,7,1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,3,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,0.0,263,0,60.0,263,0.0,282,0.0,654568,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,132,0,16.0,132,0.0,191,0.0,15505802,0,0
7,6,7,7,1,1,-1,-1,-1,5,-1,-1,-1,1,-1,3,4,-1,6,-1,0,3,2,0,0.0,1,0.0,0.0,512,0,45.52,512,0.0,559,0.0,16911416,0,1
8,10,10,1,1,1,2,3,4,-1,-1,-1,98,-1,2,3,4,-1,6,98,0,5,0,0,0.0,1,0.0,0.0,392,0,71.32,392,0.0,458,0.0,6155172,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,394,0,90.0,394,0.0,266,0.0,3491727,0,1
8,8,8,8,1,-1,2,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,6,-1,0,1,0,0,0.0,1,11.74,0.0,341,0,100.0,341,0.0,276,0.0,15616960,0,1
8,7,8,8,1,1,2,-1,-1,-1,-1,-1,-1,-1,2,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,0.0,737,0,198.0,737,0.0,814,0.0,2879080,0,1
4,3,3,3,1,1,2,3,4,5,-1,7,-1,-1,2,3,4,-1,6,-1,26,1,1,0,0.0,1,80.0,0.0,150,0,148.0,150,0.0,227,0.0,4590102,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,10,1,0,0.0,1,0.0,0.0,466,0,135.0,466,0.0,395,0.0,75583141,0,0
9,9,9,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0,1,0,0,0.0,1,0.0,0.0,217,0,59.0,217,0.0,216,0.0,4328648,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,2,0,0.0,1,0.0,0.0,236,0,23.0,236,0.0,211,0.0,7411246,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,1554,0,48.48,1554,0.0,1147,0.0,7137049,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,0,0,0,0.0,1,0.0,0.0,60,0,128.0,60,0.0,151,0.0,23233809,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,7,5,0,0.0,1,0.0,0.0,822,0,90.0,822,0.0,1019,0.0,27001859,0,1
9,9,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,33,0,20.0,33,0.0,24,0.0,144214,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,0.0,1,0.0,0.0,122,0,20.0,122,0.0,127,0.0,1312707,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,153,0,18.0,153,0.0,197,0.0,2698289,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,204,0,110.0,204,0.0,460,0.0,5876522,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,270,0,53.0,270,0.0,252,0.0,13021378,0,0
8,5,8,7,1,1,2,-1,4,5,-1,7,98,1,2,3,4,-1,6,-1,20,0,3,0,0.0,1,0.0,0.0,796,0,205.0,796,0.0,1100,0.0,22112648,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,8,0,0.0,1,0.0,0.0,1252,0,235.33,1252,0.0,686,0.0,11610167,0,0
10,10,10,10,1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0,1,0,0,0.0,1,0.0,0.0,93,0,131.3,93,0.0,111,0.0,862549,0,1
4,4,4,4,1,1,-1,-1,-1,-1,-1,-1,98,1,-1,3,-1,-1,6,-1,0,15,2,0,0.0,1,0.0,0.0,561,0,138.49,561,0.0,816,0.0,8562172,0,0
5,5,5,4,1,1,2,-1,-1,5,-1,-1,-1,1,-1,3,4,-1,6,-1,0,5,2,0,0.0,1,0.0,0.0,301,0,108.0,301,0.0,263,0.0,20355965,0,0
9,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,1,0,0,0.0,1,0.0,0.0,475,0,59.1,475,0.0,452,0.0,2772657,0,0
5,4,3,3,1,1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,4,-1,6,-1,0,15,2,0,0.0,1,0.0,0.0,684,0,72.1,684,0.0,813,0.0,25446926,0,0
8,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,122,0,10.0,122,0.0,81,0.0,39327,0,0
8,8,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,3,-1,-1,6,-1,0,4,0,0,0.0,1,0.0,0.0,147,0,66.0,147,0.0,156,0.0,2598587,0,0
8,7,8,9,1,1,2,-1,4,5,-1,7,-1,1,2,3,4,-1,-1,-1,61,13,2,0,0.0,1,0.0,0.0,957,0,105.33,957,0.0,804,0.0,6455576,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,140,0,37.9,140,0.0,116,0.0,11545995,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,16,1,0,0.0,1,0.0,0.0,796,0,58.0,796,0.0,1366,0.0,17186030,0,0
8,9,8,8,1,-1,2,-1,-1,5,-1,7,-1,-1,-1,3,4,-1,6,-1,61,8,2,0,0.0,1,0.0,0.0,607,0,49.0,607,0.0,940,0.0,5644788,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,2,0,0,0.0,1,0.0,0.0,76,0,71.8,76,0.0,309,0.0,13663824,0,1
8,8,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,0.0,117,0,143.0,117,0.0,145,0.0,6904852,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,587,0,95.41,587,0.0,431,0.0,252342,0,0
7,7,8,8,1,1,2,-1,4,5,-1,-1,-1,1,2,3,-1,-1,6,-1,0,17,0,0,0.0,1,0.0,0.0,503,0,79.0,503,0.0,514,0.0,3346277,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,0,36.89,1,6.67,0.0,241,0,98.87,241,0.0,405,0.0,22401632,0,0
9,9,9,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,90,0,69.0,90,0.0,84,0.0,4275632,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,288,0,50.0,288,0.0,259,0.0,27770490,0,0
4,3,4,3,1,1,2,-1,-1,-1,-1,-1,-1,1,2,3,-1,-1,6,-1,11,14,2,0,0.0,1,0.0,0.0,1178,0,390.47,1178,39.0,829,0.0,15285422,0,1
10,10,9,9,1,-1,-1,-1,-1,5,-1,-1,-1,1,2,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,10.0,0.0,204,0,67.0,204,0.0,88,0.0,40799672,0,0
10,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,251,0,44.0,251,0.0,320,0.0,12823361,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,422,0,46.05,422,0.0,353,0.0,4590245,0,1
10,9,10,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,6,-1,0,1,2,0,0.0,1,0.0,0.0,335,0,50.0,335,0.0,404,0.0,13767721,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,24,3,0,0.0,1,0.0,0.0,495,0,50.33,495,0.0,369,0.0,5724183,0,0
8,9,9,10,1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,55,0,41.6,55,0.0,89,0.0,297846,0,0
10,10,7,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,2,0,0.0,1,0.0,0.0,142,0,30.0,142,0.0,87,0.0,38323944,0,1
10,8,10,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0,1,0,0,0.0,1,0.0,0.0,195,0,62.4,195,0.0,741,0.0,7664525,0,1
4,2,3,3,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,-1,-1,-1,-1,31,6,2,0,0.0,1,0.0,0.0,566,0,13.0,566,0.0,355,0.0,43253548,0,0
10,10,10,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,7,0,0,0.0,1,0.0,0.0,402,0,110.0,402,0.0,540,0.0,17241687,0,0
10,7,10,6,1,-1,-1,-1,-1,5,-1,7,-1,-1,-1,3,-1,-1,6,-1,61,11,0,0,0.0,1,0.0,0.0,281,0,189.0,281,0.0,223,0.0,14989755,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,628,0,108.87,628,48.0,413,0.0,264736,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,4,0,0,0.0,1,0.0,0.0,246,0,130.0,246,0.0,559,0.0,5086868,0,0
8,8,7,8,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,0,8,0,0.0,1,0.0,0.0,1082,0,141.0,1082,0.0,1004,0.0,4525077,0,1
10,8,9,8,1,1,2,-1,-1,-1,-1,-1,-1,1,-1,3,4,-1,6,-1,40,1,2,0,7.5,1,1.16,0.0,142,0,12.16,142,0.0,80,0.0,5719637,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,70,0,58.0,70,0.0,236,0.0,673130,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,169,0,184.0,169,0.0,91,0.0,49423655,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,6,0,0.0,1,0.0,0.0,1463,0,198.0,1463,0.0,1811,0.0,10295185,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,148,0,88.0,148,0.0,109,0.0,8195447,0,1
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,4,-1,6,-1,0,1,0,0,293.3,1,20.0,0.0,137,0,333.0,137,0.0,46,0.0,209804910,0,1
6,6,6,6,1,1,-1,-1,4,5,-1,-1,-1,1,2,3,4,-1,6,-1,0,2,0,0,0.0,1,0.0,0.0,36,0,5.36,36,0.0,74,0.0,13562,0,0
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0,3,0,0,0.0,1,0.0,0.0,134,0,59.3,134,0.0,227,0.0,184605,0,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,2,1,0,0.0,1,0.0,0.0,235,0,170.0,235,0.0,196,0.0,24645194,0,0
9,9,9,9,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,59,10,0,0,0.0,1,0.0,0.0,361,0,50.99,361,0.0,173,0.0,6781522,0,0
8,7,7,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,274,0,29.5,274,0.0,119,0.0,7477029,0,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,0,0,0.0,1,0.0,0.0,224,0,69.9,224,0.0,421,0.0,1993211,0,0
9,10,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,6,0,0.0,1,0.0,0.0,131,0,15.0,131,0.0,117,0.0,5882795,0,0
